Wavelength,Absorption
195,0.4475409836065573
197,0.5351654247391955
199,0.5741030444964869
201,0.5709398907103822
203,0.531209257473481
205,0.4680510018214936
207,0.4064262295081971
209,0.3531409836065567
211,0.3066706408345754
213,0.26819203747072606
215,0.24020864381520135
217,0.21080655737704931
219,0.18823143683703014
221,0.1666622950819675
223,0.1453573770491805
225,0.12621225194132873
227,0.10877653149266617
229,0.09485245901639343
231,0.07922622950819658
233,0.06370622950819663
235,0.049350819672131244
237,0.03625884383088874
239,0.02720171062009975
241,0.020352849336455876
243,0.01571147540983613
245,0.013040238450074553
247,0.011785394932935933
249,0.0114754098360656
251,0.0114754098360656
253,0.0114754098360656
255,0.011491022638563653
257,0.012805620608899341
259,0.0131147540983607
261,0.012782310331681316
263,0.012140297369424352
265,0.01149828440716739
267,0.013423430627748954
269,0.015443422630947695
271,0.016036785285885723
273,0.015363454618152807
275,0.0147540983606558
277,0.0147540983606558
279,0.0147540983606558
281,0.014389444222311136
283,0.013716113554578213
285,0.012903981264637012
287,0.010932084309133545
289,0.008960187353630078
291,0.007812220566318996
293,0.0071847988077496485
295,0.0065573770491803
297,0.005210715713714512
299,0.0038640543782487253
