,Wavelength,Chymo.,Hem,HSA,hum. IgG,Lys,bov. IgG,Mean Absorption,Absorption Std Dev
0,195,0.485792349726775,0.4459016393442623,0.4475409836065573,0.4683840749414515,0.521311475409836,0.4616803278688517,0.4717684751496223,0.02835654194120846
1,197,0.57250819672131,0.5098852459016385,0.5351654247391955,0.5452393442622953,0.6121770491803281,0.5376955503512878,0.5521118018593426,0.035634723418627834
2,199,0.6149595628415296,0.531704918032787,0.5741030444964869,0.5847868852459014,0.651134426229508,0.5883606557377051,0.5908415820973197,0.04009249824090969
3,201,0.6146680327868852,0.5280437158469949,0.5709398907103822,0.5839180327868854,0.6495283732660783,0.5866557377049177,0.5889589638503572,0.04097726163459681
4,203,0.5709508196721321,0.4965318761384334,0.531209257473481,0.5347540983606567,0.6006557377049178,0.5319081967213115,0.5443349976784888,0.036287932529126835
5,205,0.5041894353369769,0.4514098360655739,0.4680510018214936,0.4580327868852462,0.5327868852459016,0.460109289617486,0.4790965391621131,0.032264722003419045
6,207,0.4457704918032794,0.4102014051522251,0.4064262295081971,0.4000655737704928,0.4754754098360654,0.4078907103825135,0.4243049700754622,0.029848680676550415
7,209,0.3795409836065575,0.3671868852459019,0.3531409836065567,0.3319250585480094,0.4180196721311479,0.3300196721311479,0.36330554254488695,0.0330705081530392
8,211,0.3318934426229509,0.3289421915444349,0.3066706408345754,0.2859089253187615,0.379827123695976,0.2827322404371585,0.31932909407564286,0.0361296551318631
9,213,0.2974426229508198,0.2974426229508197,0.268192037470726,0.2468269581056468,0.3514932935916538,0.249295081967213,0.2851154361728132,0.03935846992701825
10,215,0.2739247830279651,0.2699786172487529,0.2402086438152013,0.2194336810730251,0.3373472429210134,0.2206557377049176,0.26025811763181256,0.04440937651047809
11,217,0.2562824716267339,0.2483734853884534,0.2108065573770493,0.1992534678436318,0.326407494145199,0.1981358313817329,0.23987655129380006,0.04912543808624697
12,219,0.2420580075662043,0.2288743169398908,0.1882314368370301,0.1851584699453552,0.3202121504339441,0.1822364106988784,0.2244617987368838,0.05317443164645422
13,221,0.2270668348045398,0.2090767903364972,0.1666622950819675,0.171309749784297,0.3084172876304025,0.1696393442622951,0.20869538364999984,0.05472102738221054
14,223,0.2124918032786885,0.1873357091945833,0.1453573770491805,0.1608524590163937,0.2900546448087428,0.1600327868852457,0.19268746337213907,0.053331329709566305
15,225,0.1927868852459014,0.1657305773342839,0.1262122519413287,0.1445901639344262,0.2629508196721308,0.1462295081967214,0.17308336772079871,0.04949413091936891
16,227,0.1741538461538462,0.1456539162112932,0.1087765314926661,0.1307868852459016,0.2353442622950821,0.1306685673556665,0.1542306681257426,0.04521232341007164
17,229,0.1534032786885247,0.1274754098360655,0.0948524590163934,0.1166338797814209,0.2012604735883424,0.1161639344262297,0.1349649058894961,0.03765549064720204
18,231,0.1276721311475413,0.1055384615384615,0.0792262295081965,0.0982295081967214,0.1653278688524586,0.0992825458052075,0.11254612417476445,0.030182509433794087
19,233,0.0951475409836063,0.0847504553734063,0.0637062295081966,0.0783278688524589,0.1265761124121778,0.0779234972677594,0.08773861739960089,0.021608455377482634
20,235,0.0595264116575593,0.0673919523099852,0.0493508196721312,0.0602892960462872,0.0907728337236532,0.0601967213114752,0.06458800578684855,0.014064573870445688
21,237,0.0454577553593948,0.054937704918033,0.0362588438308887,0.0468733233979137,0.0692459016393442,0.0461967213114754,0.04982837507617496,0.011209828934266954
22,239,0.0337780580075662,0.0474366616989568,0.0272017106200997,0.031816393442623,0.0513621460506706,0.0334724292101341,0.03751123317167507,0.009584653442440279
23,241,0.0255956284153005,0.0404432786885246,0.0203528493364558,0.0228196721311475,0.0414344262295082,0.0240491803278688,0.02911583918813423,0.009322586539930811
24,243,0.0209945355191257,0.0327560270009643,0.0157114754098361,0.0165616535994298,0.0336082830025885,0.0175683060109289,0.02286671342381222,0.008194012712808299
25,245,0.0163934426229509,0.0295081967213115,0.0130402384500745,0.0117605131860299,0.0292008196721311,0.0118169398907104,0.018620025090534717,0.008484480604978877
26,247,0.0163934426229509,0.024488822652757,0.0117853949329359,0.0114754098360656,0.0243890710382513,0.0114754098360656,0.01666792515317105,0.006302720113179332
27,249,0.0163934426229509,0.0229508196721311,0.0114754098360656,0.0098050043140638,0.0234148802017654,0.0105636221701795,0.01576719646952605,0.00618915254820349
28,251,0.0160686237133054,0.0229508196721311,0.0114754098360656,0.008783762685402,0.0239737704918032,0.0103964232488822,0.015608134941264916,0.006556284609087005
29,253,0.0154266107510484,0.0231442622950819,0.0114754098360656,0.0095737704918032,0.0239718969555034,0.0112717860224331,0.0158106227253226,0.006306021991543819
30,255,0.0147845977887915,0.0245245901639343,0.0114910226385636,0.0082591725214676,0.0279016393442623,0.0098516783762685,0.0161354501388813,0.008169919513990369
31,257,0.0167262295081968,0.0281758569299552,0.0128056206088993,0.0121409836065574,0.0306622950819672,0.0111662763466042,0.018612877013696683,0.008616959930187816
32,259,0.0187967213114755,0.0312918032786885,0.0131147540983607,0.0121549925484351,0.0321818181818182,0.0124808743169399,0.020003493955952984,0.009411028912230252
33,261,0.0210577334283678,0.0327868852459017,0.0127823103316813,0.0117697293175753,0.0334676034348166,0.0149793300071276,0.021140598627578385,0.009830903437943943
34,263,0.0235066354410616,0.0322310694769711,0.0121402973694243,0.0124117422798322,0.0351058122205663,0.0176330991412958,0.022171442654858552,0.009866599582770938
35,265,0.0261358313817331,0.0296018735362997,0.0114982844071673,0.0130537552420892,0.0376154992548435,0.0150039032006245,0.022151524503792885,0.010562824787848805
36,267,0.0288918032786885,0.0295081967213115,0.0134234306277489,0.014304449648712,0.0411774768353528,0.0185016393442621,0.024301166076012636,0.010815645713835663
37,269,0.0295081967213115,0.0295081967213115,0.0154434226309476,0.0156190476190476,0.0434926660914581,0.0205722801788375,0.025690634993818965,0.010758249446422258
38,271,0.0306885245901639,0.0284382247101159,0.0160367852858857,0.0179403874813711,0.0455606557377049,0.0213114754098361,0.026662675535846267,0.010900613620216975
39,273,0.0330250215703193,0.0264182327069172,0.0153634546181528,0.0214633304572907,0.0471693989071038,0.0213114754098361,0.027458485611603318,0.011319063089368869
40,275,0.0343793911007026,0.0245901639344262,0.0147540983606558,0.0229163071613459,0.046,0.0213114754098361,0.02732523932782777,0.011132169647752778
41,277,0.0330647931303669,0.0245901639344262,0.0147540983606558,0.0229508196721311,0.0487606557377049,0.0223096539162112,0.02773836412524935,0.011842308802738339
42,279,0.0338235753317721,0.0245901639344262,0.0147540983606558,0.0221102831594634,0.0491803278688525,0.0223073770491803,0.02779430428405838,0.012136243790125038
43,281,0.0344262295081968,0.0239408236705317,0.0143894442223111,0.0218131147540983,0.0484683840749414,0.0213114754098361,0.027391578606652565,0.012188257989315098
44,283,0.0341170960187354,0.0225941623350659,0.0137161135545782,0.0224886807181888,0.0467665886026542,0.0209901639344262,0.026778800860608118,0.011776422905050567
45,285,0.0328024980483997,0.0212504765535646,0.012903981264637,0.0198594847775175,0.0442052744119744,0.0182295081967212,0.02487520387546907,0.011508823987973694
46,287,0.031351164797239,0.0199664506290507,0.0109320843091335,0.0185067064083457,0.0430049893086243,0.0180327868852459,0.023632363722939847,0.01155198815595229
47,289,0.0289895678092399,0.0186824247045367,0.00896018735363,0.0163147540983606,0.0386609145815357,0.0163219076005961,0.021321626024649834,0.010670377306378369
48,291,0.0256861826697892,0.0183575331772053,0.0078122205663189,0.0137106200997862,0.0336531492666091,0.0138122205663189,0.0188386543910046,0.009377989071719628
49,293,0.0221818181818181,0.0190148321623731,0.0071847988077496,0.0111751509922346,0.0282131147540983,0.0111751509922346,0.016490810981751383,0.007991057457353007
50,295,0.019672131147541,0.019672131147541,0.0065573770491803,0.006816220880069,0.0213114754098361,0.006816220880069,0.013474259419039401,0.007412845587271006
51,297,0.0171624441132638,0.0170429352068696,0.0052107157137145,0.0065573770491803,0.0181014105985512,0.0065573770491803,0.011772043288459952,0.006234358358819854
52,299,0.0123623813632441,0.0144137392661983,0.0038640543782487,0.0056535994297932,0.0148913457872664,0.0048065573770491,0.009331946266966632,0.005095533372520284
